,price,difficulty,utxo,wallet,total_transaction,block_size,total_btc,hash_rate,MVRV,median_confirmation_time,mempool_size
0,10919.65,19314656404097.0,67992257.0,53897442.0,570255219.0,300603.93786999997,18495518.75,139219832.7594406,5.744969495296415,13.366666666666667,30291424.5
1,10430.46,19314656404097.0,68084170.75,53913857.25,570552657.0,300778.75961999997,18496065.625,123857644.31701957,5.301173045782022,17.266666666666666,25948265.1
2,10532.22,19314656404097.0,68220112.5,53962056.0,570865205.0,300944.877485,18496831.25,136339422.42648664,7.131686510166979,21.475,33962799.375
3,10234.48,19314656404097.0,68328375.25,53995775.75,571215214.0,301127.45805,18497596.875,131538738.5382301,7.214487949604447,15.641666666666667,31846668.375
4,10732.43,19314656404097.0,68346302.4,54030148.25,571532636.0,301300.10406599997,18498471.875,162263115.42307216,7.477981463273528,14.483333333333333,25190828.25
5,10692.84,19314656404097.0,68234058.0,54066613.25,571884361.0,301527.83322800003,18499475.0,144020516.64769718,7.008476529598471,13.295833333333334,16459946.25
6,10732.4,19314656404097.0,68132168.75,54098124.5,572161256.0,301724.47172,18500468.75,145940790.2029998,8.440698768542688,12.558333333333335,2620469.5
7,10774.24,19314656404097.0,68150049.25,54139761.25,572421210.0,301878.958797,18501465.0,123857644.31701957,8.277402463188515,15.15,10330054.9
8,10692.33,19314656404097.0,68278717.5,54171028.25,572717092.0,302039.49385,18502343.75,135379285.64883536,7.4097654723663595,18.1,17006994.375
9,10840.8,19314656404097.0,68364545.0,54216424.5,573063493.0,302219.112615,18503115.625,149781337.3136051,7.811446748782146,18.383333333333333,16905739.25
10,10777.92,19314656404097.0,68450810.66666667,54258521.25,573414811.0,302425.675536,18504100.0,119056960.42876299,8.97897302154651,20.141666666666666,27983820.875
11,10619.24,19314656404097.0,68561683.5,54308382.75,573719849.0,302587.001907,18504975.0,130578601.76057878,7.2064689010948815,18.758333333333333,44341892.25
12,10575.06,19314656404097.0,68533415.0,54347286.75,574036153.0,302762.792556,18505740.625,144980653.42534852,7.567572413064346,18.15,29363790.3
13,10551.77,19300708897945.594,68351631.8,54377500.0,574346133.0,302962.665995,18506727.5,151592064.050859,9.438244656208596,14.7625,3244143.0
14,10673.46,19298087186263.0,68347726.5,54415860.0,574614906.0,303155.397375,18507715.625,134303836.4311328,10.42243064057558,15.375,13574525.0
15,10788.56,19298087186263.0,68385043.0,54454862.5,574909252.0,303323.242392,18508595.3125,124710705.25748046,7.465590586263683,19.225,15922959.0
16,10603.74,19298087186263.0,68520522.6,54502072.0,575227641.0,303492.339975,18509481.25,144856280.72215042,8.8683676089851,16.483333333333334,17120292.125
17,10670.8,19298087186263.0,68521225.0,54536134.25,575598463.0,303685.58364699996,18510359.375,155408725.01316798,8.49558126890947,16.141666666666666,8161571.375
18,10923.3,19298087186263.0,68586433.0,54575018.0,575927903.0,303883.713632,18511347.5,136222462.66586328,8.593917559181683,20.1125,16131226.2
19,11063.19,19298087186263.0,68610022.25,54623003.25,576267005.0,304070.20640300005,18512334.375,137181775.78322852,7.382674203570348,16.891666666666666,10819916.25
20,11302.67,19298087186263.0,68529059.75,54666724.75,576565333.0,304255.797541,18513214.0625,134303836.4311328,9.332575393535233,14.733333333333333,802340.375
21,11376.61,19298087186263.0,68551875.6,54722937.25,576822203.0,304405.353196,18514096.875,142937654.4874199,8.653161854277121,16.2,13920849.5
22,11540.04,19298087186263.0,68538304.25,54773472.0,577136548.0,304582.009327,18514971.875,159245977.48262888,8.05530713488493,16.025,12261468.375
23,11428.24,19298087186263.0,68575504.2,54838500.5,577469354.0,304790.528621,18515962.5,142937654.4874199,7.893176920856881,16.058333333333334,6584594.125
24,11431.32,19298087186263.0,68664716.25,54891148.25,577784733.0,304959.90279,18516950.0,144856280.72215042,7.215941971491539,17.216666666666665,6651739.4
25,11503.73,19298087186263.0,68733482.75,54947590.5,578125832.0,305150.364856,18517829.6875,148693533.1916113,7.45853021675162,16.933333333333334,6924701.0
26,11327.57,19529685517635.715,68720037.2,54991662.5,578449559.0,305338.81432,18518818.75,152419671.45957646,8.028611309239748,14.8,3032812.0
27,11366.51,19997335994446.0,68759434.66666667,55026741.0,578725039.0,305500.43680100003,18519809.375,119288755.698985,7.76519210171766,18.883333333333333,5367184.5
28,11508.2,19997335994446.0,68842941.25,55069227.75,578956984.0,305630.355788,18520684.375,124259120.51977606,6.830492130001663,20.425,10215402.625
29,11758.16,19997335994446.0,68923687.25,55110411.0,579259854.0,305789.82992,18521456.25,143146506.838782,4.840173306333115,20.558333333333334,12596935.125
30,11925.46,19997335994446.0,69041801.75,55153611.25,579591519.0,305966.477144,18522221.875,129229485.3405671,4.329577601328069,19.9,25664462.1
31,12831.56,19997335994446.0,69136648.66666667,55197582.5,579902150.0,306135.000548,18523103.125,136187996.08967456,4.6514180553937035,23.566666666666666,35757540.875
32,12990.25,19997335994446.0,69294035.75,55247728.25,580241547.0,306310.945851,18523987.5,130223558.30472532,5.856515386296464,23.85,44259351.5
33,12944.52,19997335994446.0,69259790.5,55298087.25,580564105.0,306479.06934499997,18524760.416666668,151099090.55204767,8.185456552275301,18.808333333333334,31509549.375
34,13128.46,19997335994446.0,69149112.75,55351324.5,580871863.0,306682.59684899997,18525643.75,116306536.8065104,10.406375352871095,21.341666666666665,18800174.0
35,13036.77,19997335994446.0,69114261.66666667,55394304.0,581113651.0,306843.144386,18526518.75,109348026.05740292,7.806878974468083,23.11666666666667,23557027.6
